id,x,y,tier
227,0.521854,0.755693,1
228,0.468422,0.775776,1
229,0.584259,0.603584,0
230,0.504467,0.707314,1
231,0.46221,0.749381,1
232,0.475444,0.766209,1
233,0.467403,0.757157,1
234,0.481453,0.790133,1
235,0.486308,0.773161,1
236,0.554912,0.82624,1
237,0.534896,0.781576,1
238,0.445725,0.796361,1
239,0.520369,0.790021,1
240,0.519162,0.778555,1
241,0.507639,0.80128,1
242,0.440343,0.791313,1
243,0.494058,0.753675,1
244,0.496217,0.805606,1
245,0.495339,0.74893,1
246,0.507739,0.73353,1
247,0.485265,0.723272,1
248,0.486467,0.800619,1
249,0.521833,0.799916,1
250,0.796171,0.273022,0
251,0.468868,0.204272,1
252,0.906595,0.458551,0
253,0.829274,0.204327,1
254,0.906927,0.209679,1
255,0.0128483,0.44028,0
256,0.171076,0.386683,0
257,0.188736,0.348109,0
258,0.264834,0.386183,0
259,0.217857,0.374769,0
260,0.137391,0.494587,0
261,0.232024,0.373745,0
262,0.17007,0.359097,0
263,0.15398,0.324393,0
264,0.251124,0.364058,0
265,0.169366,0.249668,1
266,0.152321,0.295271,1
267,0.190135,0.369956,0
268,0.309472,0.312207,0
269,0.157938,0.281151,1
270,0.47542,0.164259,1
271,0.2632,0.378141,0
272,0.141344,0.299164,1
273,0.48735,0.245125,1
274,0.474621,0.212337,1
275,0.0286116,0.437076,0
276,0.0620261,0.468235,0
277,0.15903,0.280571,1
278,0.0212906,0.373537,0
279,0.363151,0.588019,0
280,0.500186,0.779527,1
281,0.510658,0.77102,1
282,0.521555,0.75589,1
283,0.339701,0.611669,0
284,0.491451,0.73216,0
285,0.135594,0.929179,0
286,0.0938121,0.929717,0
287,0.108795,0.957933,0
288,0.603057,0.746335,0
289,0.148066,0.922574,0
290,0.0896423,0.909949,0
291,0.218758,0.812092,1
292,0.092828,0.916008,0
293,0.0911271,0.934538,0
294,0.605244,0.457178,0
295,0.17966,0.632534,0
296,0.141859,0.290008,1
297,0.207257,0.616008,0
298,0.21895,0.788502,1
299,0.122907,0.942512,0
300,0.594385,0.585394,0
301,0.877869,0.439512,0
302,0.831684,0.174224,1
303,0.514445,0.282232,1
304,0.832328,0.461047,0
305,0.611533,0.603176,0
306,0.595026,0.578137,0
307,0.512856,0.75331,1
308,0.150933,0.290635,1
309,0.151779,0.612126,0
310,0.681112,0.353603,0
311,0.827465,0.151614,1
312,0.606903,0.465092,0
313,0.510813,0.203943,1
314,0.553043,0.576455,0
315,0.332146,0.584396,0
316,0.514594,0.749557,1
317,0.217542,0.776728,1
318,0.188767,0.772148,1
319,0.57026,0.587153,0
320,0.494221,0.797433,1
321,0.195354,0.677537,0
322,0.495833,0.190468,1
323,0.52506,0.195418,1
324,0.437396,0.221065,1
325,0.120713,0.959976,0
326,0.215809,0.775653,1
327,0.325816,0.346839,0
328,0.184743,0.600689,0
329,0.209315,0.750021,1
330,0.331491,0.322336,0
331,0.395097,0.586151,0
332,0.20237,0.754924,0
333,0.411405,0.60511,0
334,0.323387,0.47733,0
335,0.351007,0.452741,0
336,0.188284,0.626327,0
337,0.352546,0.598599,0
338,0.506535,0.788317,1
339,0.517958,0.794303,1
340,0.152527,0.315421,1
341,0.0290176,0.363852,0
342,0.256534,0.323158,0
343,0.630967,0.603477,0
344,0,0.414414,0
345,0.632088,0.604929,0
346,0.378627,0.578447,0
347,0.579875,0.799197,0
348,0.843682,0.47201,0
349,0.509231,0.235098,1
